m_id,m_gametext
11884,"['Sharp Fang','','','','','','','','','','','']"
11885,"['Sharp Claw','','','','','','','','','','','']"
11886,"['Beast Skull','','','','','','','','','','','']"
11887,"['Beast Horn','','','','','','','','','','','']"
11888,"['Sharp Bone','','','','','','','','','','','']"
11889,"['Sharp Talon','','','','','','','','','','','']"
11890,"['Giant Beast Tusk','','','','','','','','','','','']"
11891,"['Giant Horn','','','','','','','','','','','']"
11892,"['Black Horn','','','','','','','','','','','']"
11893,"['Crystal Horn','','','','','','','','','','','']"
11894,"['Avian Bone','','','','','','','','','','','']"
11895,"['Giant Solid Bone','','','','','','','','','','','']"
11896,"['Blackwolf Claw','','','','','','','','','','','']"
11897,"['Whitesilver Fang','','','','','','','','','','','']"
11898,"['Arcane Beast Claw','','','','','','','','','','','']"
11899,"['Crystal Fang','','','','','','','','','','','']"
11900,"['Twisted Horns','','','','','','','','','','','']"
11901,"['Giant Claw','','','','','','','','','','','']"
11902,"['Ebony Horn','','','','','','','','','','','']"
11903,"['Giant Beast Femur','','','','','','','','','','','']"
11904,"['Shiny Sturdy Horn','','','','','','','','','','','']"
11905,"['Dragonbone Shard','','','','','','','','','','','']"
11906,"['Rare Lizard Claw','','','','','','','','','','','']"
11907,"[""Old Wolf's Fang"",'','','','','','','','','','','']"
11908,"['Imperial Frog Femur','','','','','','','','','','','']"
11909,"['Rare Lizard Bone','','','','','','','','','','','']"
20144,"['Silversand Ant Leg','','','','','','','','','','','']"
20145,"['Whaleking Bone','','','','','','','','','','','']"
20146,"['Steel Beast Horn','','','','','','','','','','','']"
20147,"['Abyssal Beast Horn','','','','','','','','','','','']"
20148,"['Silversand Bug Claw','','','','','','','','','','','']"
20149,"['Black Panther Fang','','','','','','','','','','','']"
20150,"['Fire Serpent Fang','','','','','','','','','','','']"
11939,"['Ash Log','','','','','','','','','','','']"
11940,"['Maple Log','','','','','','','','','','','']"
11941,"['Willow Log','','','','','','','','','','','']"
11942,"['Holly Log','','','','','','','','','','','']"
11943,"['Lauan Log','','','','','','','','','','','']"
11944,"['Laurel Log','','','','','','','','','','','']"
11945,"['Teak Log','','','','','','','','','','','']"
11946,"['Oak Log','','','','','','','','','','','']"
11947,"['Olive Log','','','','','','','','','','','']"
11948,"['Blackwood Log','','','','','','','','','','','']"
11949,"['Spruce Log','','','','','','','','','','','']"
11950,"['Alder Log','','','','','','','','','','','']"
11951,"['Mahogany Log','','','','','','','','','','','']"
11952,"['Cherry Log','','','','','','','','','','','']"
11953,"['Timberwood Log','','','','','','','','','','','']"
11954,"['Sequoia Log','','','','','','','','','','','']"
11955,"['Silverheart Log','','','','','','','','','','','']"
11956,"['Birch Log','','','','','','','','','','','']"
11957,"['Linden Log','','','','','','','','','','','']"
11958,"['Elm Log','','','','','','','','','','','']"
11959,"['Walnut Log','','','','','','','','','','','']"
11960,"['Ebony Log','','','','','','','','','','','']"
11961,"['Sephirot Branch','','','','','','','','','','','']"
11962,"['Wisdom Branch','','','','','','','','','','','']"
11963,"['Log of Life','','','','','','','','','','','']"
11964,"['Flame Log','','','','','','','','','','','']"
11965,"['Ancient Tree Branch','','','','','','','','','','','']"
11966,"['Log of Donescu','','','','','','','','','','','']"
11967,"['Ice Tree Branch','','','','','','','','','','','']"
20154,"['Sandtear Baobab','','','','','','','','','','','']"
20155,"['Deep Sea Log','','','','','','','','','','','']"
20156,"['Kingtree Sprout','','','','','','','','','','','']"
20157,"['Abyssal Tree Root','','','','','','','','','','','']"
20158,"['Elder Tree Root','','','','','','','','','','','']"
20159,"['Reaper Tree Branch','','','','','','','','','','','']"
20160,"['Infernal Tree Log','','','','','','','','','','','']"
11997,"['Linen Grass','','','','','','','','','','','']"
11998,"['Cotton Grass','','','','','','','','','','','']"
11999,"['Beast Hide','','','','','','','','','','','']"
12000,"['Leather','','','','','','','','','','','']"
12001,"['Mohair','','','','','','','','','','','']"
12002,"['Pearl Grass','','','','','','','','','','','']"
12003,"['Cowhide','','','','','','','','','','','']"
12004,"['Thick Cloth','','','','','','','','','','','']"
12005,"['Wool','','','','','','','','','','','']"
12006,"['Wildbeast Fur','','','','','','','','','','','']"
12007,"['Nightshade','','','','','','','','','','','']"
12008,"['Crescent Grass','','','','','','','','','','','']"
12009,"['Pure White Fur','','','','','','','','','','','']"
12010,"['Rainbow Fur','','','','','','','','','','','']"
12011,"['White Leather','','','','','','','','','','','']"
12012,"['Ancient Beast Hide','','','','','','','','','','','']"
12013,"['Faerie Grass','','','','','','','','','','','']"
12014,"['Arcane Beast Fur','','','','','','','','','','','']"
12015,"['Magic Grass','','','','','','','','','','','']"
12016,"['Shiny Leather','','','','','','','','','','','']"
12017,"['Cursed Grass','','','','','','','','','','','']"
12018,"['Sacred Flamegrass','','','','','','','','','','','']"
12019,"['Wisdomweed','','','','','','','','','','','']"
12020,"['Wyvern Fur','','','','','','','','','','','']"
12021,"['Starfall Grass','','','','','','','','','','','']"
12022,"['Frigid Stalk','','','','','','','','','','','']"
12023,"['Eclipse Grass','','','','','','','','','','','']"
12024,"['Imperial Frogskin','','','','','','','','','','','']"
16960,"['Direwolf Fur','','','','','','','','','','','']"
20164,"['Lush Grass','','','','','','','','','','','']"
20165,"['Whaleking Hide','','','','','','','','','','','']"
20166,"['Plume of Eden','','','','','','','','','','','']"
20167,"['Abyssal Beast Leather','','','','','','','','','','','']"
20168,"['Silversand Bug Hide','','','','','','','','','','','']"
20169,"['Warring Clan Cloth','','','','','','','','','','','']"
20170,"['Infernal Grass','','','','','','','','','','','']"
12109,"['Silversnow Polishstone','','','','','','','','','','','']"
12110,"['Silversnow Refinestone','','','','','','','','','','','']"
12111,"['Silversnow Strengthstone','','','','','','','','','','','']"
12112,"['Silversnow Softenstone','','','','','','','','','','','']"
12114,"['Bluebranch Polishstone','','','','','','','','','','','']"
12115,"['Bluebranch Refinestone','','','','','','','','','','','']"
12116,"['Bluebranch Strengthstone','','','','','','','','','','','']"
12117,"['Bluebranch Softenstone','','','','','','','','','','','']"
12119,"['Rushwater Polishstone','','','','','','','','','','','']"
12120,"['Rushwater Refinestone','','','','','','','','','','','']"
12121,"['Rushwater Strengthstone','','','','','','','','','','','']"
12122,"['Rushwater Softenstone','','','','','','','','','','','']"
12124,"['Ice Crystal Polishstone','','','','','','','','','','','']"
12125,"['Ice Crystal Refinestone','','','','','','','','','','','']"
12126,"['Ice Crystal Strengthstone','','','','','','','','','','','']"
12127,"['Ice Crystal Softenstone','','','','','','','','','','','']"
12129,"['Sandrock Polishstone','','','','','','','','','','','']"
12130,"['Sandrock Refinestone','','','','','','','','','','','']"
12131,"['Sandrock Strengthstone','','','','','','','','','','','']"
12132,"['Sandrock Softenstone','','','','','','','','','','','']"
12134,"['Coral Polishstone','','','','','','','','','','','']"
12135,"['Coral Refinestone','','','','','','','','','','','']"
12136,"['Coral Strengthstone','','','','','','','','','','','']"
12137,"['Coral Softenstone','','','','','','','','','','','']"
12139,"['Stela Polishstone','','','','','','','','','','','']"
12140,"['Stela Refinestone','','','','','','','','','','','']"
12141,"['Stela Strengthstone','','','','','','','','','','','']"
12142,"['Stela Softenstone','','','','','','','','','','','']"
12144,"['Red Ore Polishstone','','','','','','','','','','','']"
12145,"['Red Ore Refinestone','','','','','','','','','','','']"
12146,"['Red Ore Strengthstone','','','','','','','','','','','']"
12147,"['Red Ore Softenstone','','','','','','','','','','','']"
12149,"['Gravel Polishstone','','','','','','','','','','','']"
12150,"['Gravel Refinestone','','','','','','','','','','','']"
12151,"['Gravel Strengthstone','','','','','','','','','','','']"
12152,"['Gravel Softenstone','','','','','','','','','','','']"
12154,"['Lapis Polishstone','','','','','','','','','','','']"
12155,"['Lapis Refinestone','','','','','','','','','','','']"
12156,"['Lapis Strengthstone','','','','','','','','','','','']"
12157,"['Lapis Softenstone','','','','','','','','','','','']"
12159,"['Relic Polishstone','','','','','','','','','','','']"
12160,"['Relic Refinestone','','','','','','','','','','','']"
12161,"['Relic Strengthstone','','','','','','','','','','','']"
12162,"['Relic Softenstone','','','','','','','','','','','']"
40100,"['Legendary Ashes (Snow)','','','','','','','','','','','']"
40101,"['Legendary Ashes (Forest)','','','','','','','','','','','']"
40102,"['Legendary Ashes (Plains)','','','','','','','','','','','']"
40103,"['Legendary Ashes (Sea)','','','','','','','','','','','']"
40104,"['Legendary Ashes (Cliffs)','','','','','','','','','','','']"
40105,"['Legendary Ashes (River)','','','','','','','','','','','']"
40106,"['Legendary Ashes (Desert)','','','','','','','','','','','']"
40107,"['Legendary Ashes (Mount)','','','','','','','','','','','']"
40108,"['Crystal of Remembrance','','','','','','','','','','','']"
40135,"['Hero Beast Claw','','','','','','','','','','','']"
40299,"['Hero Beast Tusk','','','','','','','','','','','']"
40300,"['Hero Beast Hide','','','','','','','','','','','']"
40301,"['Hero Beast Bone','','','','','','','','','','','']"
40302,"['Hero Beast Thick Hide','','','','','','','','','','','']"
40303,"['Hero Beast Sturdy Bone','','','','','','','','','','','']"
40304,"['Hero Beast Sturdy Hide','','','','','','','','','','','']"
40305,"['Hero Polishstone','','','','','','','','','','','']"
40306,"['Hero Refinestone','','','','','','','','','','','']"
40307,"['Hero Strengthstone','','','','','','','','','','','']"
40308,"['Hero Softenstone','','','','','','','','','','','']"
40309,"['Hero Scraps (Sword)','','','','','','','','','','','']"
40310,"['Hero Scraps (Polearm)','','','','','','','','','','','']"
40311,"['Hero Scraps (Dagger)','','','','','','','','','','','']"
40312,"['Hero Scraps (Axe)','','','','','','','','','','','']"
40313,"['Hero Scraps (Bow)','','','','','','','','','','','']"
40314,"['Hero Scraps (Staff)','','','','','','','','','','','']"
40315,"['Hero Scraps (Fan)','','','','','','','','','','','']"
40316,"['Hero Scraps (Tome)','','','','','','','','','','','']"
40550,"['Special Catstone','','','','','','','','','','','']"
40355,"['Legendary Ashes II (River)','','','','','','','','','','','']"
40356,"['Legendary Ashes II (Snow)','','','','','','','','','','','']"
40357,"['Legendary Ashes II (Plains)','','','','','','','','','','','']"
40358,"['Legendary Ashes II (Cliffs)','','','','','','','','','','','']"
40359,"['Legendary Ashes II (Forest)','','','','','','','','','','','']"
40360,"['Legendary Ashes II (Desert)','','','','','','','','','','','']"
40361,"['Legendary Ashes II (Sea)','','','','','','','','','','','']"
40362,"['Legendary Ashes II (Mount)','','','','','','','','','','','']"
16833,"['Seal of Enlightenment','','','','','','','','','','','']"
16834,"['Sacred Seal of Enlightenment','','','','','','','','','','','']"
16835,"['Seal of the Thunderblade','','','','','','','','','','','']"
16836,"['Seal of the Charitable','','','','','','','','','','','']"
16837,"['Seal of the Prince of Thieves','','','','','','','','','','','']"
16838,"['Seal of the Scholarking','','','','','','','','','','','']"
16839,"['Seal of the Flamebringer','','','','','','','','','','','']"
16840,"['Seal of the Huntress','','','','','','','','','','','']"
16841,"['Seal of the Trader','','','','','','','','','','','']"
16842,"['Seal of the Lady of Grace','','','','','','','','','','','']"
16843,"['Sacred Seal of the Thunderblade','','','','','','','','','','','']"
16844,"['Sacred Seal of the Charitable','','','','','','','','','','','']"
16845,"['Sacred Seal of the Prince of Thieves','','','','','','','','','','','']"
16846,"['Sacred Seal of the Scholarking','','','','','','','','','','','']"
16847,"['Sacred Seal of the Flamebringer','','','','','','','','','','','']"
16848,"['Sacred Seal of the Huntress','','','','','','','','','','','']"
16849,"['Sacred Seal of the Trader','','','','','','','','','','','']"
16850,"['Sacred Seal of the Lady of Grace','','','','','','','','','','','']"
40174,"['Hero Seal','','','','','','','','','','','']"
40175,"['Hero Sacred Seal','','','','','','','','','','','']"
40317,"['Hero Divine Seal','','','','','','','','','','','']"
40318,"['Hero Magic Seal','','','','','','','','','','','']"
41840,"['Medal of Bravery','','','','','','','','','','','']"
41841,"['Medal of Valor','','','','','','','','','','','']"
40435,"['Wisdom Orb (Bronze)','','','','','','','','','','','']"
40436,"['Wisdom Orb (Silver)','','','','','','','','','','','']"
40437,"['Wisdom Orb (Gold)','','','','','','','','','','','']"
40443,"['Wisdom Orb (Nanna)','','','','','','','','','','','']"
16851,"['Experience Nut (S)','','','','','','','','','','','']"
16954,"['Experience Nut (M)','','','','','','','','','','','']"
16852,"['Experience Nut (L)','','','','','','','','','','','']"
16955,"['Tasty Experience Nut (S)','','','','','','','','','','','']"
16853,"['Tasty Experience Nut (M)','','','','','','','','','','','']"
16956,"['Tasty Experience Nut (L)','','','','','','','','','','','']"
18004,"['Supreme Experience Nut (S)','','','','','','','','','','','']"
18005,"['Supreme Experience Nut (M)','','','','','','','','','','','']"
18006,"['Supreme Experience Nut (L)','','','','','','','','','','','']"
40109,"['Boost Berry Lv. 1','','','','','','','','','','','']"
40110,"['Boost Berry Lv. 5','','','','','','','','','','','']"
40111,"['Boost Berry Lv. 10','','','','','','','','','','','']"
16882,"['Collection Point Info','','','','','','','','','','','']"
16884,"['Bronze-filled Pouch','','','','','','','','','','','']"
16885,"['Timepiece','','','','','','','','','','','']"
16886,"['Silver-filled Pouch','','','','','','','','','','','']"
16887,"['Dazzling Artwork','','','','','','','','','','','']"
16888,"[""Cat's Eye"",'','','','','','','','','','','']"
16968,"['Commemorative Coin','','','','','','','','','','','']"
16969,"['Gold-filled Pouch','','','','','','','','','','','']"
16970,"['Platinum Coin','','','','','','','','','','','']"
16971,"['Jewel Bag','','','','','','','','','','','']"
16972,"['Heavy Gold Nugget','','','','','','','','','','','']"
42745,"['Ancient Relic','','','','','','','','','','','']"
16889,"['Mysterious Ore','','','','','','','','','','','']"
16890,"['Pseudo Gold Ore','','','','','','','','','','','']"
16891,"['Wood Carving','','','','','','','','','','','']"
16892,"['Stone Sculpture','','','','','','','','','','','']"
16893,"['Painting','','','','','','','','','','','']"
16894,"['Incense Burner','','','','','','','','','','','']"
16895,"['Dubious Gold Ore','','','','','','','','','','','']"
16896,"['Old Coin','','','','','','','','','','','']"
16897,"['Rare Stone','','','','','','','','','','','']"
16898,"[""Fool's Gold Ore"",'','','','','','','','','','','']"
17013,"['Curious Antique','','','','','','','','','','','']"
17014,"['Old Painting','','','','','','','','','','','']"
17015,"['Rare Tome','','','','','','','','','','','']"
17017,"['Goddess Sculpture','','','','','','','','','','','']"
17018,"['White Grape Blossom','','','','','','','','','','','']"
17019,"['Straw Rope','','','','','','','','','','','']"
17020,"['Candle','','','','','','','','','','','']"
17021,"['Overflowing Coin Pouch','','','','','','','','','','','']"
17022,"['Red Dream Diary','','','','','','','','','','','']"
40027,"['Popular Romance Novel','','','','','','','','','','','']"
40083,"['Complex Tome','','','','','','','','','','','']"
40091,"['Epic Tale','','','','','','','','','','','']"
40095,"['Assorted Tasty Fruits','','','','','','','','','','','']"
40084,"['Cheap Wine','','','','','','','','','','','']"
40085,"['Good Wine','','','','','','','','','','','']"
40086,"['Quality Wine','','','','','','','','','','','']"
40087,"['Superior Wine','','','','','','','','','','','']"
40099,"['Ancient Tome','','','','','','','','','','','']"
40132,"['Quality Ingredients','','','','','','','','','','','']"
40133,"['Ambrosial Milk','','','','','','','','','','','']"
40134,"['Emperor Crab','','','','','','','','','','','']"
40352,"['Vivid Woven Wool','','','','','','','','','','','']"
40353,"['Praying Doll','','','','','','','','','','','']"
40354,"['Fragrant Fertilizer','','','','','','','','','','','']"
40493,"['Handwoven Basket','','','','','','','','','','','']"
40494,"['Unglazed Pottery','','','','','','','','','','','']"
40495,"['Exquisite Silverwork','','','','','','','','','','','']"
40496,"['Used Fishing Rod','','','','','','','','','','','']"
40497,"['Giant Dried Fish','','','','','','','','','','','']"
40498,"['Cait Furball','','','','','','','','','','','']"
40499,"['Catsip','','','','','','','','','','','']"
40922,"['Quality Stringed Instrument','','','','','','','','','','','']"
41420,"['Aged Wine','','','','','','','','','','','']"
41421,"['Broken Frying Pan','','','','','','','','','','','']"
41422,"['Broken Bottle','','','','','','','','','','','']"
41423,"['Tattered Stuffed Toy','','','','','','','','','','','']"
41572,"['Lost Tome','','','','','','','','','','','']"
43076,"['White Grape Juice','','','','','','','','','','','']"
43077,"['Frying Pan','','','','','','','','','','','']"
16899,"['Bone','','','','','','','','','','','']"
16900,"['Dirty Ball of Cloth','','','','','','','','','','','']"
16901,"['Rigid Wire','','','','','','','','','','','']"
16902,"['Quill','','','','','','','','','','','']"
16903,"['Scrap of Rope','','','','','','','','','','','']"
16904,"['Candy','','','','','','','','','','','']"
16905,"['Glass Marble','','','','','','','','','','','']"
16906,"['Mysterious Seed','','','','','','','','','','','']"
16907,"['Fish Tooth','','','','','','','','','','','']"
16908,"['Tree Nut','','','','','','','','','','','']"
16909,"['Weathered Boots','','','','','','','','','','','']"
16910,"['Necklace','','','','','','','','','','','']"
16911,"['Hardened Bread','','','','','','','','','','','']"
16912,"['Handkerchief','','','','','','','','','','','']"
16913,"['Hip Flask','','','','','','','','','','','']"
16914,"['Red Apple','','','','','','','','','','','']"
16915,"['Bottled Breath','','','','','','','','','','','']"
16916,"['Empty Coin Pouch','','','','','','','','','','','']"
16917,"['Jug','','','','','','','','','','','']"
16918,"['Portrait with a Kiss','','','','','','','','','','','']"
16973,"['Feather Duster','','','','','','','','','','','']"
16974,"['Glossy Gold Coin','','','','','','','','','','','']"
16975,"['Hyper Tonic','','','','','','','','','','','']"
16976,"['Monster Perfume','','','','','','','','','','','']"
16977,"['Cloth Map','','','','','','','','','','','']"
16978,"['Stuffed Toy','','','','','','','','','','','']"
16979,"['Tagged Collar','','','','','','','','','','','']"
16980,"['Rusty Cup','','','','','','','','','','','']"
16981,"['Fine Quill','','','','','','','','','','','']"
16982,"['Poysenberry','','','','','','','','','','','']"
16983,"['Hairbrush','','','','','','','','','','','']"
16984,"['Large Feather','','','','','','','','','','','']"
16985,"['Small Cup','','','','','','','','','','','']"
16986,"['Coin Pouch','','','','','','','','','','','']"
16987,"['Copper Lantern','','','','','','','','','','','']"
16988,"['Polished Handmirror','','','','','','','','','','','']"
16989,"['Odds and Ends','','','','','','','','','','','']"
16990,"['Introduction to Adventuring','','','','','','','','','','','']"
16991,"['Heavy Coin Pouch','','','','','','','','','','','']"
16992,"['Cutlery Set','','','','','','','','','','','']"
16993,"['Stylish Gold Coin','','','','','','','','','','','']"
16994,"['Stylish Leather Bag','','','','','','','','','','','']"
16995,"['Freshly Shorn Fleece','','','','','','','','','','','']"
16996,"['Broken Goldwork','','','','','','','','','','','']"
16997,"['Cheap Whiskey','','','','','','','','','','','']"
16998,"['Crude Poetry','','','','','','','','','','','']"
16999,"['Small Goldwork','','','','','','','','','','','']"
17000,"['Good Whiskey','','','','','','','','','','','']"
17001,"['Inspiring Poetry','','','','','','','','','','','']"
17002,"['Large Goldwork','','','','','','','','','','','']"
17003,"['Quality Whiskey','','','','','','','','','','','']"
17004,"['Heartwarming Poetry','','','','','','','','','','','']"
17005,"['Giant Goldwork','','','','','','','','','','','']"
17006,"['Superior Whiskey','','','','','','','','','','','']"
17007,"['Thrilling Poetry','','','','','','','','','','','']"
40088,"['Sliced Fish','','','','','','','','','','','']"
40089,"['Gold Dust','','','','','','','','','','','']"
40090,"['Whetstone','','','','','','','','','','','']"
40092,"['Raisin','','','','','','','','','','','']"
40093,"['Jerky','','','','','','','','','','','']"
40094,"['Grape','','','','','','','','','','','']"
40096,"['Orange','','','','','','','','','','','']"
40097,"['Pear','','','','','','','','','','','']"
40098,"['Silver Clock','','','','','','','','','','','']"
40125,"['Alpaca Fleece Fabric','','','','','','','','','','','']"
18000,"[""Warrior's Memento"",'','','','','','','','','','','']"
18001,"[""Knight's Memento"",'','','','','','','','','','','']"
18002,"[""Noble's Memento"",'','','','','','','','','','','']"
18003,"[""Rich Man's Memento"",'','','','','','','','','','','']"
19000,"['Rare Bronze Stone (S)','','','','','','','','','','','']"
19001,"['Rare Bronze Stone (M)','','','','','','','','','','','']"
19002,"['Rare Bronze Stone (L)','','','','','','','','','','','']"
19003,"['Rare Silver Stone (S)','','','','','','','','','','','']"
19004,"['Rare Silver Stone (M)','','','','','','','','','','','']"
19005,"['Rare Silver Stone (L)','','','','','','','','','','','']"
19006,"['Rare Gold Stone (S)','','','','','','','','','','','']"
19007,"['Rare Gold Stone (M)','','','','','','','','','','','']"
19008,"['Rare Gold Stone (L)','','','','','','','','','','','']"
40113,"['Fleece','','','','','','','','','','','']"
40114,"['Good Fleece','','','','','','','','','','','']"
40115,"['Quality Fleece','','','','','','','','','','','']"
40116,"['Alpaca Fleece','','','','','','','','','','','']"
40117,"['Good Alpaca Fleece','','','','','','','','','','','']"
40118,"['Quality Alpaca Fleece','','','','','','','','','','','']"
30001,"['Ring of Aelfric the Flamebringer','','','','','','','','','','','']"
12297,"[""Key to Auguste's Villa"",'','','','','','','','','','','']"
20174,"['Bell Amulet','','','','','','','','','','','']"
16831,"[""Velnorte's Testament"",'','','','','','','','','','','']"
16832,"['Adorabloom','','','','','','','','','','','']"
17234,"[""Key to Herminia's Manse"",'','','','','','','','','','','']"
20201,"[""Alaune's Letter of Accusation"",'','','','','','','','','','','']"
17235,"['Ring of Draefendi, the Huntress','','','','','','','','','','','']"
17236,"['Ring of Brand, the Thunderblade','','','','','','','','','','','']"
17237,"['Ring of Aeber, Prince of Thieves','','','','','','','','','','','']"
17238,"['Ring of Alephan, the Scholarking','','','','','','','','','','','']"
17245,"['Ring of Bifelgan, the Trader','','','','','','','','','','','']"
17246,"['Ring of Sealticge, Lady of Grace','','','','','','','','','','','']"
17247,"['Ring of Dohter, the Charitable','','','','','','','','','','','']"
17239,"['White Grape Blossom','','','','','','','','','','','']"
30008,"['Town Information','','','','','','','','','','','']"
30009,"[""The Have-not's Proof"",'','','','','','','','','','','']"
20176,"[""Clergy's Information"",'','','','','','','','','','','']"
20177,"[""Rinyuu's Information"",'','','','','','','','','','','']"
20178,"[""Phina's Information"",'','','','','','','','','','','']"
20179,"[""Miza's Information"",'','','','','','','','','','','']"
20180,"[""Dmitri's Information"",'','','','','','','','','','','']"
20181,"[""Sazantos's Information"",'','','','','','','','','','','']"
20182,"[""Rondo's Information"",'','','','','','','','','','','']"
30013,"['Confessional Information','','','','','','','','','','','']"
30014,"[""Missing Person's Information"",'','','','','','','','','','','']"
30015,"[""Tarset's Secret"",'','','','','','','','','','','']"
30017,"[""Tarset's Information"",'','','','','','','','','','','']"
30018,"['Manuscript Page','','','','','','','','','','','']"
30020,"['The Legend of Saint Odypus','','','','','','','','','','','']"
30021,"['The Three Flames','','','','','','','','','','','']"
40247,"['Song of Red Hill','','','','','','','','','','','']"
41053,"[""Edoras Soldier's Curse"",'','','','','','','','','','','']"
41054,"[""Burned Man's Curse"",'','','','','','','','','','','']"
41055,"['Information About a Slaughter','','','','','','','','','','','']"
41348,"[""Enraged Prostitute's Curse"",'','','','','','','','','','','']"
41349,"[""Taviani's Curse"",'','','','','','','','','','','']"
41354,"[""Slain Syndicate Member's Information"",'','','','','','','','','','','']"
41350,"[""Bloody Syndicate Member's Curse"",'','','','','','','','','','','']"
20203,"['Valore Medal','','','','','','','','','','','']"
20204,"['Emberglow Medal','','','','','','','','','','','']"
20205,"['Theatropolis Medal','','','','','','','','','','','']"
20207,"['Rippletide Medal','','','','','','','','','','','']"
20403,"['Grandport Medal','','','','','','','','','','','']"
20206,"['Cragspear Medal','','','','','','','','','','','']"
20210,"['Clearbrook Medal','','','','','','','','','','','']"
20208,"['Sunshade Medal','','','','','','','','','','','']"
20209,"['Shepherds Rock Medal','','','','','','','','','','','']"
17240,"['Order Form','','','','','','','','','','','']"
17241,"['Expert Order Form','','','','','','','','','','','']"
17242,"['Request Form (Ultimate）','','','','','','','','','','','']"
17243,"['Request Form (Nightmare）','','','','','','','','','','','']"
17244,"['Request Form (Inferno）','','','','','','','','','','','']"
40265,"['Otherworld Order Form','','','','','','','','','','','']"
41366,"['NieR:Automata Order Form','','','','','','','','','','','']"
30003,"['Gold Coin','','','','','','','','','','','']"
30004,"['Silver Coin','','','','','','','','','','','']"
30005,"['Copper Coin','','','','','','','','','','','']"
42423,"['Affinity Mark','','','','','','','','','','','']"
30012,"['Guidestone Shard','','','','','','','','','','','']"
40048,"['Gold Guidestone Shard','','','','','','','','','','','']"
40049,"['Silver Guidestone Shard','','','','','','','','','','','']"
40050,"['Bronze Guidestone Shard','','','','','','','','','','','']"
20000,"['Bronze Guidestone','','','','','','','','','','','']"
20001,"['Silver Guidestone','','','','','','','','','','','']"
20002,"['Gold Guidestone','','','','','','','','','','','']"
20003,"[""<JobIcon_0001>Sofia's Guidestone"",'','','','','','','','','','','']"
20004,"[""<JobIcon_0002>Fiore's Guidestone"",'','','','','','','','','','','']"
20005,"[""Scarecrow's Guidestone"",'','','','','','','','','','','']"
20006,"[""Gilderoy's Guidestone"",'','','','','','','','','','','']"
20007,"[""<JobIcon_0005>Millard's Guidestone"",'','','','','','','','','','','']"
20008,"[""Viola's Guidestone"",'','','','','','','','','','','']"
20009,"[""Theo's Guidestone"",'','','','','','','','','','','']"
20010,"[""Lynette's Guidestone"",'','','','','','','','','','','']"
20011,"[""Wingate's Guidestone"",'','','','','','','','','','','']"
20012,"[""Cless's Guidestone"",'','','','','','','','','','','']"
20013,"[""Kurtz's Guidestone"",'','','','','','','','','','','']"
20014,"[""Devin's Guidestone"",'','','','','','','','','','','']"
20015,"[""Heinz's Guidestone"",'','','','','','','','','','','']"
20016,"[""Peredir's Guidestone"",'','','','','','','','','','','']"
20017,"[""Laura's Guidestone"",'','','','','','','','','','','']"
20018,"[""Ashlan's Guidestone"",'','','','','','','','','','','']"
20019,"[""Trish's Guidestone"",'','','','','','','','','','','']"
20020,"[""Tahir's Guidestone"",'','','','','','','','','','','']"
20021,"[""Sigrid's Guidestone"",'','','','','','','','','','','']"
20022,"[""Ramona's Guidestone"",'','','','','','','','','','','']"
20023,"[""Bertrand's Guidestone"",'','','','','','','','','','','']"
20024,"[""Miles's Guidestone"",'','','','','','','','','','','']"
